Sector_name,country_here,stri_score,stri_score_intraeea,Grid
Courier services,ITA,0.1792811006307602,0.06373784691095352,STRI2023
Distribution services,ITA,0.17223487794399261,0.09896573424339294,STRI2023
Cargo-handling,ITA,0.22472763061523438,0.0534583255648613,STRI2023
Storage and warehouse,ITA,0.2389761060476303,0.09489761292934418,STRI2023
Freight-forwarding,ITA,0.18909090757369995,0.031515151262283325,STRI2023
Customs brokerage,ITA,0.19995278120040894,0.046506136655807495,STRI2023
Market bridging and supporting services,ITA,,,STRI2023
Legal services,ITA,0.19880026578903198,0.03552348166704178,STRI2023
Accounting services,ITA,0.5039358139038086,0.07341810315847397,STRI2023
Commercial banking,ITA,0.19450171291828156,0.0536082461476326,STRI2023
Insurance,ITA,0.23930136859416962,0.019607841968536377,STRI2023
Physical infrastructure services,ITA,,,STRI2023
Construction,ITA,0.2638111710548401,0.04911994934082031,STRI2023
Architecture services,ITA,0.3392655849456787,0.09678909927606583,STRI2023
Engineering services,ITA,0.3860459625720978,0.03595581650733948,STRI2023
Digital network,LTU,,,STRI2023
Computer services,LTU,0.1728588342666626,0.01473934669047594,STRI2023
Telecommunication,LTU,0.13382187485694885,0.01910807192325592,STRI2023
Broadcasting,LTU,0.150166854262352,0.028407633304595947,STRI2023
Motion pictures,LTU,0.15989425778388977,0.023401547223329544,STRI2023
Sound recording,LTU,0.13056379556655884,0.013188262470066547,STRI2023
Logistics and related services,LTU,,,STRI2023
Air transport,LTU,0.39316126704216003,0.13051436841487885,STRI2023
Maritime transport,LTU,0.21011419594287872,0.030342577025294304,STRI2023
Road freight transport,LTU,0.19350245594978333,0.03442919999361038,STRI2023
Rail freight transport,LTU,0.17832957208156586,0.055465977638959885,STRI2023
Courier services,LTU,0.1261335015296936,0.03601008281111717,STRI2023
Distribution services,LTU,0.12786194682121277,0.04454466700553894,STRI2023
Cargo-handling,LTU,0.13377249240875244,0.009880921803414822,STRI2023
Storage and warehouse,LTU,0.13180887699127197,0.022849828004837036,STRI2023
Freight-forwarding,LTU,0.15878789126873016,0.004848484881222248,STRI2023
Customs brokerage,LTU,0.1456562727689743,0.023843247443437576,STRI2023
Market bridging and supporting services,LTU,,,STRI2023
Legal services,LTU,0.41344085335731506,0.09269847720861435,STRI2023
Accounting services,LTU,0.15576748549938202,0.0543445348739624,STRI2023
Commercial banking,LTU,0.1553264707326889,0.019243985414505005,STRI2023
Insurance,LTU,0.12563636898994446,0.009123443625867367,STRI2023
Physical infrastructure services,LTU,,,STRI2023
Construction,LTU,0.18136128783226013,0.023237358778715134,STRI2023
Architecture services,LTU,0.16692949831485748,0.08177408576011658,STRI2023
Engineering services,LTU,0.14134356379508972,0.007889990694820881,STRI2023
Digital network,LUX,,,STRI2023
Computer services,LUX,0.17152446508407593,0.04414655640721321,STRI2023
Telecommunication,LUX,0.15170782804489136,0.07029657810926437,STRI2023
Broadcasting,LUX,0.15666979551315308,0.03696414828300476,STRI2023
Motion pictures,LUX,0.1752668172121048,0.05757367983460426,STRI2023
Sound recording,LUX,0.15507198870182037,0.0468183308839798,STRI2023
Logistics and related services,LUX,,,STRI2023
Air transport,LUX,0.42013952136039734,0.15592752397060394,STRI2023
Road freight transport,LUX,0.1900077611207962,0.04970230162143707,STRI2023
Rail freight transport,LUX,0.1428571343421936,0.06514027714729309,STRI2023
Courier services,LUX,0.1325334757566452,0.04736962914466858,STRI2023
Distribution services,LUX,0.17723074555397034,0.07950443029403687,STRI2023
Cargo-handling,LUX,0.10919685661792755,0.025842411443591118,STRI2023
Storage and warehouse,LUX,0.17385664582252502,0.08976109325885773,STRI2023
Freight-forwarding,LUX,0.14787879586219788,0.0363636389374733,STRI2023
Customs brokerage,LUX,0.1201605275273323,0.046506136655807495,STRI2023
Market bridging and supporting services,LUX,,,STRI2023
Legal services,LUX,0.20133095979690552,0.10066547989845276,STRI2023
Accounting services,LUX,0.2141992151737213,0.1151982992887497,STRI2023
Commercial banking,LUX,0.1340206116437912,0.07422680407762527,STRI2023
Insurance,LUX,0.15225061774253845,0.019204597920179367,STRI2023
Physical infrastructure services,LUX,,,STRI2023
Construction,LUX,0.1939769983291626,0.05681147426366806,STRI2023
Architecture services,LUX,0.23316062986850739,0.1429891437292099,STRI2023
Engineering services,LUX,0.20096933841705322,0.07563120126724243,STRI2023
Digital network,LVA,,,STRI2023
Computer services,LVA,0.14364905655384064,0.01473934669047594,STRI2023
Telecommunication,LVA,0.15146911144256592,0.0361553430557251,STRI2023
Broadcasting,LVA,0.20689654350280762,0.05339265987277031,STRI2023
Motion pictures,LVA,0.13061784207820892,0.023401547223329544,STRI2023
Sound recording,LVA,0.11594680696725845,0.013188262470066547,STRI2023
Logistics and related services,LVA,,,STRI2023
Air transport,LVA,0.40271109342575073,0.14112529158592224,STRI2023
Maritime transport,LVA,0.14877650141716003,0.02577487751841545,STRI2023
Road freight transport,LVA,0.1650271862745285,0.019156096503138542,STRI2023
Rail freight transport,LVA,0.20251531898975372,0.09996774792671204,STRI2023
Courier services,LVA,0.14485874772071838,0.04501260444521904,STRI2023
Distribution services,LVA,0.12840059399604797,0.04454466700553894,STRI2023
Cargo-handling,LVA,0.11755764484405518,0.01646820269525051,STRI2023
Storage and warehouse,LVA,0.12428328394889832,0.03170648217201233,STRI2023
Freight-forwarding,LVA,0.11999999731779099,0.004848484881222248,STRI2023
Customs brokerage,LVA,0.13715769350528717,0.023843247443437576,STRI2023
Market bridging and supporting services,LVA,,,STRI2023
Legal services,LVA,0.11528728157281876,0.008248195983469486,STRI2023
